Timestamp,Object_ID,Depth_mm
1741815431.940231,1,43.6
1741815431.940231,3,40.0
1741815432.010198,1,41.9
1741815432.0111964,1,44.2
1741815432.07024,1,41.3
1741815432.0712447,1,45.1
1741815432.113294,1,41.0
1741815432.114293,1,45.3
1741815432.1589043,1,40.9
1741815432.1589043,1,45.2
1741815432.2089083,1,41.0
1741815432.2100334,1,44.1
1741815432.291691,1,41.0
1741815432.291691,1,45.3
1741815432.3441737,1,41.2
1741815432.3441737,1,45.3
1741815432.392277,1,41.1
1741815432.3932767,1,44.2
1741815432.437167,1,41.1
1741815432.437167,1,45.3
1741815432.48252,1,41.1
1741815432.48252,1,45.4
1741815432.5375445,1,41.3
1741815432.5375445,1,45.3
1741815432.5375445,3,39.8
1741815432.5938857,1,41.2
1741815432.5938857,1,45.4
1741815432.6267376,1,41.2
1741815432.6277485,1,45.3
1741815432.6775253,1,41.2
1741815432.6775253,1,45.4
1741815432.7480056,1,41.2
1741815432.7490118,1,45.4
1741815432.7490118,3,40.0
1741815432.8001626,1,41.3
1741815432.8001626,1,44.5
1741815432.8001626,3,40.1
1741815432.845131,1,41.2
1741815432.845131,1,45.4
1741815432.927548,1,41.7
1741815432.9290588,1,43.9
1741815432.9290588,3,39.9
1741815432.9870646,1,41.5
1741815432.9870646,1,44.3
1741815432.9870646,3,40.1
1741815433.045751,1,44.3
1741815433.045751,0,44.3
1741815433.0462346,3,40.0
1741815433.0944226,1,44.3
1741815433.0944226,3,40.2
1741815433.126526,0,44.6
1741815433.127569,3,40.0
1741815433.1742032,0,44.7
1741815433.175203,3,40.3
1741815433.241209,0,44.7
1741815433.241209,3,40.4
1741815433.3097885,0,44.8
1741815433.3097885,3,40.5
1741815433.34993,0,44.8
1741815433.34993,3,40.4
1741815433.4021256,0,44.8
1741815433.4021256,3,40.9
1741815433.4499445,0,44.8
1741815433.450946,3,41.0
1741815433.495098,0,44.9
1741815433.4971037,3,41.2
1741815433.527041,1,44.5
1741815433.527041,3,41.3
1741815433.573101,0,44.6
1741815433.573101,3,41.0
1741815433.619222,0,44.7
1741815433.619222,3,41.1
1741815433.6791022,0,44.6
1741815433.6791022,3,40.7
1741815433.7353444,1,44.1
1741815433.7353444,3,40.6
1741815433.736345,0,44.2
1741815433.8011968,1,43.9
1741815433.8011968,3,40.7
1741815433.8011968,0,44.3
1741815433.8708854,1,43.9
1741815433.8708854,3,40.5
1741815433.8718853,0,44.3
1741815433.924225,1,43.9
1741815433.9252334,3,40.4
1741815433.9252334,0,44.4
1741815433.970394,0,44.2
1741815433.970394,3,40.5
1741815433.970394,1,44.2
1741815434.0139294,1,44.0
1741815434.0149436,3,40.4
1741815434.0159457,0,44.2
1741815434.0459397,1,44.0
1741815434.0459397,3,40.4
1741815434.0469463,0,44.2
1741815434.0924656,1,43.9
1741815434.0924656,3,40.5
1741815434.0924656,0,44.4
1741815434.13774,1,44.1
1741815434.13774,3,40.5
1741815434.13774,0,44.4
1741815434.1633327,1,43.9
1741815434.1643264,3,40.4
1741815434.1643264,0,44.3
